item_idx,item_id,num_owners,popularity_rank,popularity_score
0,10,9735,551,0.19638498315547398
1,100,8850,10760,0.1785318028686127
2,10000,68,7343,0.0013717697847531823
3,1002,64,3336,0.0012910774444735834
4,10040,2,1003,4.034617013979948e-05
5,100400,16,10564,0.00032276936111839586
6,100410,40,65,0.0008069234027959896
7,10080,9,1155,0.00018155776562909766
8,10090,4012,10634,0.08093441730043775
9,100970,16,1385,0.00032276936111839586
10,100980,19,877,0.0003832886163280951
11,10100,92,10758,0.001855923826430776
12,10110,139,3215,0.002804058824716064
13,10120,16,10034,0.00032276936111839586
14,10130,331,869,0.006677291158136814
15,10140,78,4631,0.0015735006354521796
16,10150,1467,1114,0.02959391579754292
17,10170,82,7342,0.0016541929757317787
18,10180,5963,913,0.12029210627181215
19,10190,5963,1302,0.12029210627181215
20,10220,288,4367,0.005809848500131125
21,102200,319,621,0.006435214137298017
22,10230,21,10824,0.00042363478646789454
23,10240,28,1738,0.0005648463819571927
24,102400,98,1019,0.0019769623368501746
25,10250,26,1191,0.0005245002118173933
26,102500,1847,897,0.03725968812410482
27,10260,24,3833,0.00048415404167759376
28,102600,4664,3923,0.09408726876601238
29,10270,136,10858,0.0027435395695063645
30,102700,1222,1433,0.024651509955417483
31,102810,144,4598,0.0029049242500655626
32,102820,245,895,0.004942405842125437
33,102840,1742,10575,0.035141514191765345
34,102850,182,4586,0.0036715014827217525
35,10400,16,1478,0.00032276936111839586
36,104000,221,203,0.0044582518004478424
37,104020,137,5267,0.0027637126545762645
38,10410,1,3315,2.017308506989974e-05
39,104100,49,981,0.0009884811684250873
40,10420,1,5538,2.017308506989974e-05
41,104200,1411,6457,0.028464223033628534
42,10430,221,1011,0.0044582518004478424
43,10440,1,8070,2.017308506989974e-05
44,10460,86,1364,0.0017348853160113777
45,104600,884,901,0.01783300720179137
46,10470,1,8328,2.017308506989974e-05
47,104700,4655,415,0.0939057110003833
48,10480,2,10855,4.034617013979948e-05
49,10490,1,1756,2.017308506989974e-05
50,104900,10236,509,0.20649169877549373
51,10500,4263,136,0.0859978616529826
52,105000,448,980,0.009037542111315083
53,10510,1,10876,2.017308506989974e-05
54,105100,256,8381,0.005164309777894334
55,10520,1,942,2.017308506989974e-05
56,105200,1,350,2.017308506989974e-05
57,10530,118,2872,0.0023804240382481693
58,105300,449,2133,0.009057715196384984
59,10540,53,7659,0.001069173508704686
60,105400,1136,3957,0.022916624639406104
61,105420,153,2874,0.00308648201569466
62,105430,1143,7744,0.023057836234895403
63,105450,4668,10785,0.09416796110629198
64,10560,1,50,2.017308506989974e-05
65,105600,29239,179,0.5898408343587985
66,105700,246,572,0.004962578927195336
67,105800,820,746,0.016541929757317785
68,10590,1,10649,2.017308506989974e-05
69,106000,53,4964,0.001069173508704686
70,106010,224,1032,0.0045187710556575415
71,10630,1,675,2.017308506989974e-05
72,10650,45,653,0.0009077888281454883
73,10660,9,0,0.00018155776562909766
74,10680,2347,480,0.04734623065905469
75,10690,40,725,0.0008069234027959896
