user_id,bundle_id,bundle_name,total_games,owned_games,missing_games,ownership_ratio,missing_game_ids
--000--,1225,Risen Franchise Pack,9,1,8,0.1111111111111111,"['40300', '249270', '249230', '40392', '249250', '249290', '40393', '40391']"
--000--,560,Awesome Games Bundle,3,1,2,0.3333333333333333,"['307230', '257990']"
--000--,624,Killing Floor 1 Complete Your Set!,22,1,21,0.045454545454545456,"['35425', '35417', '210934', '210932', '210937', '210943', '1256', '258751', '309990', '1257', '210944', '210936', '258752', '210933', '35419', '210945', '210938', '309991', '210931', '258750', '35429']"
--000--,627,Tripwire Complete Bundle,27,1,26,0.037037037037037035,"['35425', '35417', '35460', '35480', '210934', '210932', '210937', '232090', '210943', '1256', '258751', '309990', '1257', '234510', '210944', '210936', '258752', '210933', '1200', '35419', '210945', '210938', '309991', '210931', '258750', '35429']"
--000--,665,Valve Complete Pack,19,2,17,0.10526315789473684,"['620', '300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '20', '30', '380,320', '10,80', '50']"
--000--,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
--000--,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
--ace--,1085,Microblast Games Bundle,6,3,3,0.5,"['450470', '448070', '306160']"
--ace--,1128,Zonitron Productions Complete Pack,15,1,14,0.06666666666666667,"['462370', '460660', '416270', '432150', '447880', '331710', '505440', '431270', '395980', '385200', '516700', '368900', '410590', '354850']"
--ace--,365,Digital Homicide Super Bundle,21,1,20,0.047619047619047616,"['491250', '344750', '383030', '473630', '473580', '516230', '473650', '329950', '388870', '473640', '407730', '392870', '373110', '407750', '473620', '392050', '486340', '457930', '457940', '407740']"
--ace--,533,Rebellion Anthology,35,1,34,0.02857142857142857,"['397350', '63398', '3720', '305181', '305185', '305184', '210561', '301640', '247910', '305186', '3730', '227100', '63399', '7020', '305187', '254820', '305180', '3710', '254880', '312740', '222021', '326431', '254840', '238090', '404040', '312690', '254920', '326430', '254860', '305183', '305182', '312680', '3700', '281940']"
--ace--,649,The Binding of Isaac : Rebirth + Afterbirth Bundle,2,1,1,0.5,['401920']
--ace--,665,Valve Complete Pack,19,2,17,0.10526315789473684,"['300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '550', '20', '30', '380,320', '10,80', '50']"
--ace--,668,Portal Bundle,2,1,1,0.5,['400']
--ace--,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
--ionex--,665,Valve Complete Pack,19,3,16,0.15789473684210525,"['300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '20', '30', '380,320', '10,80', '50']"
--ionex--,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
--ionex--,668,Portal Bundle,2,1,1,0.5,['400']
--ionex--,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
-2SV-vuLB-Kg,1085,Microblast Games Bundle,6,3,3,0.5,"['450470', '448070', '306160']"
-2SV-vuLB-Kg,1128,Zonitron Productions Complete Pack,15,2,13,0.13333333333333333,"['462370', '460660', '416270', '432150', '447880', '331710', '505440', '431270', '397620', '395980', '516700', '368900', '410590']"
-2SV-vuLB-Kg,1182,Platformer Bundle,9,1,8,0.1111111111111111,"['317250', '429700', '263980', '394540', '351150', '341500', '396360', '371670']"
-2SV-vuLB-Kg,361,FE Ultimate Bundle,10,2,8,0.2,"['371420', '301190', '453100', '340300', '257830', '340310', '456810', '294230']"
-2SV-vuLB-Kg,365,Digital Homicide Super Bundle,21,1,20,0.047619047619047616,"['491250', '344750', '383030', '473630', '473580', '516230', '473650', '329950', '388870', '473640', '407730', '392870', '373110', '407750', '473620', '392050', '486340', '457930', '314700', '407740']"
-2SV-vuLB-Kg,377,Digital Melody Bundle,4,1,3,0.25,"['438080', '490820', '439910']"
-2SV-vuLB-Kg,552,Perfect Angle bundle,2,1,1,0.5,['487620']
-2SV-vuLB-Kg,665,Valve Complete Pack,19,1,18,0.05263157894736842,"['620', '300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '550', '20', '30', '380,320', '10,80', '50']"
-2SV-vuLB-Kg,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
-404PageNotFound-,1033,The Codemasters Complete Collection,56,1,55,0.017857142857142856,"['226580', '12710', '208500', '203680', '286570', '220811', '220801', '12790', '221167', '255692', '220804', '255220', '221164', '289021', '289022', '255690', '11450', '220809', '12810', '282092', '44360', '44350', '221161', '287260', '11560', '221165', '306670', '220802', '289023', '220805', '44310', '220813', '282090', '12750', '11590', '12770', '221166', '220806', '287340', '289024', '310560', '289025', '220812', '12830', '255691', '221160', '220803', '220807', '391040', '201700', '44340', '282091', '221162', '221168', '289020']"
-404PageNotFound-,1271,New World Collection,2,1,1,0.5,['447820']
-404PageNotFound-,364,Eidos Anthology,88,3,85,0.03409090909090909,"['216416', '225020', '35135', '28000', '265191', '6850', '208792', '208799', '225320', '224920', '208812', '35136', '35130', '208797', '8170', '208809', '8000', '216421', '216414', '216411', '242960', '238010', '211740', '208813', '208790', '208795', '7000', '216412', '208808', '208791', '35101', '208800', '35138', '28010', '224960', '208793', '216413', '216415', '208806', '216420', '6870', '265192', '208811', '35091', '35089', '28011', '318871', '208817', '208807', '35102', '289690', '208818', '6880', '318872', '258180', '35080', '216418', '208796', '28012', '211600', '8140', '208814', '6980', '6900', '203160', '6910', '35137', '224940', '208810', '224300', '247430', '6860', '216417', '225000', '225300', '224980', '216419', '35090', '208798', '35083', '259900', '265193', '8080', '318870', '6920']"
-404PageNotFound-,448,tinyBuild Mega 2016 Bundle,5,2,3,0.4,"['394310', '356570', '403940']"
-404PageNotFound-,462,Assassin's Creed Bundle,4,1,3,0.25,"['242050', '368500', '311560']"
-404PageNotFound-,496,The Witcher Trilogy,3,1,2,0.3333333333333333,"['20900', '292030']"
-404PageNotFound-,533,Rebellion Anthology,35,1,34,0.02857142857142857,"['397350', '63398', '3720', '305181', '305185', '305184', '210561', '301640', '247910', '305186', '3730', '227100', '63399', '7020', '305187', '254820', '305180', '3710', '254880', '312740', '222021', '326431', '254840', '238090', '404040', '312690', '254920', '326430', '254860', '305183', '305182', '312680', '3700', '281940']"
-404PageNotFound-,536,"Borderlands ""Take Over Your Life Bundle""",8,1,7,0.125,"['8990', '261640', '65920', '40940', '8980', '330830', '50110']"
-404PageNotFound-,665,Valve Complete Pack,19,4,15,0.21052631578947367,"['300', '420', '400', '280,360', '40', '60', '500', '130', '220', '70', '20', '30', '380,320', '10,80', '50']"
-404PageNotFound-,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
-404PageNotFound-,668,Portal Bundle,2,1,1,0.5,['400']
-404PageNotFound-,676,Counter-Strike Complete,3,2,1,0.6666666666666666,"['10,80']"
-404PageNotFound-,682,Source Multiplayer Pack,3,1,2,0.3333333333333333,"['300', '320']"
-404PageNotFound-,694,The Codemasters DiRT Collection,4,1,3,0.25,"['287340', '310560', '201700']"
